         582           5
C125gyrA           
S7B4               
N12A18             
M7C7               
N9B22              
N9B11              
S11c8              
S4B5               
96x4               
N14B4              
96x8               
96x9               
S15C4              
S11c1              
N11C10             
M19B2              
15A1               
N9B2               
972x1              
T20C15             
N16A8              
N18A14             
105x1              
M12C8              
N16B5              
M15C13             
N17A2              
S1b3               
96x3               
N13A1              
S15c8              
T7C8.F             
N13C8              
98x5               
S12c13             
N14B2              
N15B4              
N17A5              
S3B4               
96x7               
N9C7               
N12A5              
M2B1               
N2A2               
S9C2               
N15A11             
S18c7              
N1B4               
N14B5              
N15A8              
S8B2               
M2C7               
96x2               
N7B3               
S3c2               
T18B2              
97x3               
T5c13              
N13C11 R           
S18c2 R            
M10C6 R            
S4C6 R             
N7A1 R             
S15c7 R            
S10c8 R            
T15C11 R           
N9A8 R             
N9A7 R             
S3B1 R             
N10B4 R            
98x4 R             
S16C3 R            
97x1 R             
S17c3 R            
S18c5 R            
S4C2 R             
S18c4 R            
S16c9 R            
M18B3 R            
N9C8 R             
N10B1 R            
M8B7 R             
N9A14 R            
S12b2 R            
S16B4 R            
101x1 R            
N17A3 R            
N13C9 R            
101x2 R            
21b6 R             
16b1 R             
22a2 R             
N19A17 R           
N19A2 R            
N19A13 R           
19b1 R             
S13b2 R            
T10C12 R           
M7C9 R             
S18c6 R            
S11c6 R            
M10C8 R            
S10c5 R            
S12c2 R            
N10C6 R            
93x1 R             
N5B2 R             
N15A1 R            
N9B15 R            
N9A4 R             
T8B1.F R           
S20B2 R            
S17B1 R            
S14b5 R            
S13C2f R           
98x2 R             
T17B1 R            
S1B5 R             
M20B4 R            
M16B3 R            
S19C4 R            
98x10 R            
N12A10 R           
N9A1 R             
N5A1 R             
N9C20Forwa R       
N12A9 R            
S10b4 R            
N1B2 R             
N9B1 R             
96x11 R            
S20C6 R            
T18C7 R            
S18c14 R           
T4c12 R            
N9C17 R            
M8B10 R            
T4c8 R             
S8C11 R            
N4C6 R             
T5c12 poor         
S18c11 poor        
S11c12 poor        
S11c3 poor         
S14C1xII poor      
N2A5 poor          
103x9 poor         
N9B4 poor          
S9B2 poor          
97x2 poor          
N16B4 poor         
N9A6 poor          
S8B3 poor          
S20C2 poor         
N9A13 poor         
N18A16 poor        
T15B4 poor         
S13c7M poor        
M20B3 poor         
S19B1 poor         
22a3 poor          
93x2 poor          
19b3a poor         
T4c11poor poor     
21b4 poor          
N9A12 poor         
T4c7 poor          
M13C9 poor         
